timestamp,origin,destination,distance,duration,duration_in_traffic
2025-06-12 16:18:53,"Connaught Place, Delhi","India Gate, Delhi",4.3 km,11 mins,10 mins
2025-06-12 16:18:54,"Rajiv Chowk Metro Station, Delhi","Hauz Khas, Delhi",11.1 km,26 mins,29 mins
2025-06-12 16:18:54,Noida Sector 18,"South Extension Market, Delhi",13.7 km,22 mins,22 mins
2025-06-12 16:28:55,"Connaught Place, Delhi","India Gate, Delhi",4.3 km,11 mins,11 mins
2025-06-12 16:28:55,"Rajiv Chowk Metro Station, Delhi","Hauz Khas, Delhi",11.1 km,26 mins,28 mins
2025-06-12 16:28:55,Noida Sector 18,"South Extension Market, Delhi",13.7 km,22 mins,23 mins
2025-06-12 16:38:56,"Connaught Place, Delhi","India Gate, Delhi",4.6 km,11 mins,11 mins
2025-06-12 16:38:56,"Rajiv Chowk Metro Station, Delhi","Hauz Khas, Delhi",11.1 km,26 mins,27 mins
2025-06-12 16:38:57,Noida Sector 18,"South Extension Market, Delhi",13.7 km,22 mins,23 mins
2025-06-12 16:48:57,"Connaught Place, Delhi","India Gate, Delhi",4.3 km,11 mins,11 mins
2025-06-12 16:48:57,"Rajiv Chowk Metro Station, Delhi","Hauz Khas, Delhi",11.1 km,26 mins,27 mins
2025-06-12 16:48:58,Noida Sector 18,"South Extension Market, Delhi",13.7 km,22 mins,23 mins
2025-06-12 16:58:58,"Connaught Place, Delhi","India Gate, Delhi",4.6 km,11 mins,11 mins
2025-06-12 16:58:59,"Rajiv Chowk Metro Station, Delhi","Hauz Khas, Delhi",11.1 km,26 mins,29 mins
2025-06-12 16:59:00,Noida Sector 18,"South Extension Market, Delhi",13.7 km,22 mins,23 mins
2025-06-12 17:09:00,"Connaught Place, Delhi","India Gate, Delhi",4.3 km,11 mins,11 mins
2025-06-12 17:09:00,"Rajiv Chowk Metro Station, Delhi","Hauz Khas, Delhi",11.1 km,26 mins,28 mins
2025-06-12 17:09:01,Noida Sector 18,"South Extension Market, Delhi",13.7 km,22 mins,23 mins
2025-06-12 18:13:31,"Connaught Place, Delhi","India Gate, Delhi",4.6 km,11 mins,12 mins
2025-06-12 18:13:31,"Rajiv Chowk Metro Station, Delhi","Hauz Khas, Delhi",11.1 km,26 mins,33 mins
2025-06-12 18:13:31,Noida Sector 18,"South Extension Market, Delhi",13.7 km,22 mins,27 mins
2025-06-12 18:23:32,"Connaught Place, Delhi","India Gate, Delhi",4.6 km,11 mins,13 mins
2025-06-12 18:23:32,"Rajiv Chowk Metro Station, Delhi","Hauz Khas, Delhi",11.1 km,26 mins,32 mins
